2019-05-29 01:51:54.623606:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 01:52:13.882795:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 02:08:58.918951:  Not all parameters were used in the SQL statement
2019-05-29 02:09:46.508406:  Not all parameters were used in the SQL statement
2019-05-29 02:11:12.575584:  1146 (42S02): Table 'websim.combo' doesn't exist
2019-05-29 02:11:32.396884:  1265 (01000): Data truncated for column 'created_at' at row 1
2019-05-29 02:12:59.765920:  1406 (22001): Data too long for column 'settings' at row 1
2019-05-29 02:13:34.508953:  1406 (22001): Data too long for column 'grade' at row 1
2019-05-29 02:14:16.190934:  1406 (22001): Data too long for column 'submitted' at row 1
2019-05-30 13:22:53.359981: LOG    :  Python type Session cannot be converted
2019-05-30 13:22:58.094189: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:02.760881: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:07.452819: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:12.102310: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:16.892002: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:21.629357: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:26.583620: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:31.293971: LOG    :  Python type Session cannot be converted
2019-05-30 13:23:36.261058: LOG    :  Python type Session cannot be converted
2019-05-30 13:31:51.869246: LOG    :  Python type Session cannot be converted
2019-05-30 13:31:56.611749: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:01.563719: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:06.453005: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:11.230278: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:15.965304: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:20.857450: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:25.648710: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:30.340252: LOG    :  Python type Session cannot be converted
2019-05-30 13:32:34.709967: LOG    :  Python type Session cannot be converted
2019-05-30 13:33:42.030784: LOG    :  Python type Session cannot be converted
2019-05-30 13:33:46.810238: LOG    :  Python type Session cannot be converted
2019-05-30 13:33:51.624430: LOG    :  Python type Session cannot be converted
2019-05-30 13:33:56.392764: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:01.246772: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:06.056673: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:10.848977: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:15.549023: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:20.299555: LOG    :  Python type Session cannot be converted
2019-05-30 13:34:24.692280: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:25.119147: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:29.849178: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:34.545302: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:39.345865: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:44.163884: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:48.815925: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:53.547976: LOG    :  Python type Session cannot be converted
2019-05-30 13:36:58.397198: LOG    :  Python type Session cannot be converted
2019-05-30 13:37:03.088128: LOG    :  Python type Session cannot be converted
2019-05-30 13:37:07.512344: LOG    :  Python type Session cannot be converted
2019-05-30 13:37:58.365645: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:03.218094: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:07.952638: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:12.739102: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:17.553223: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:22.527610: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:27.194354: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:31.972677: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:36.711415: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:41.436374: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:46.092353: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:50.894844: LOG    :  Python type Session cannot be converted
2019-05-30 13:38:55.720982: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:00.562435: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:05.374699: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:10.164212: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:14.993430: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:19.661773: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:24.476846: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:29.311550: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:34.173271: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:38.862596: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:43.571305: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:48.349482: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:53.030645: LOG    :  Python type Session cannot be converted
2019-05-30 13:39:57.711190: LOG    :  Python type Session cannot be converted
2019-05-30 13:40:02.517347: LOG    :  Python type Session cannot be converted
